stop_id,stop_name,stop_desc,stop_lat,stop_lon,
100014,BEDFORD PK BL/GRAND CONCOURSE,,40.872562,-73.888156,
100017,PAUL AV/W 205 ST,,40.876836,-73.889710,
100018,PAUL AV/W MOSHOLU PY S,,40.880392,-73.886081,
100019,GRAND CONCOURSE/E 138 ST,,40.813496,-73.929489,
100020,GRAND CONCOURSE/E 144 ST,,40.816812,-73.928001,
100021,GRAND CONCOURSE/E 149 ST,,40.818856,-73.927096,
100022,GRAND CONCOURSE/E 153 ST,,40.821103,-73.925751,
100025,GRAND CONCOURSE/E 161 ST,GRAND CONCOURSE & E 161 ST,40.826617,-73.922643,
100026,GRAND CONCOURSE/E 163 ST,,40.828837,-73.921328,
100027,GRAND CONCOURSE/E 165 ST,GRAND CONCOURSE & E 165 ST,40.831320,-73.919940,
100028,GRAND CONCOURSE/MC CLELLAN ST,,40.833276,-73.918555,
100029,GRAND CONCOURSE/E 167 ST,,40.834762,-73.917133,
100030,GRAND CONCOURSE/E 169 ST,,40.836570,-73.915371,
100033,GRAND CONCOURSE/MT EDEN AV,GRAND CONCOURSE & MT EDEN AV,40.843405,-73.911639,
100035,GRAND CONCOURSE/E 175 ST,,40.846739,-73.908556,
100038,GRAND CONCOURSE/E 179 ST,,40.850930,-73.904494,
100039,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE & E BURNSIDE AV,40.852124,-73.903580,
100040,GRAND CONCOURSE/E 180 ST,,40.853719,-73.902245,
100041,GRAND CONCOURSE/E 182 ST,,40.856254,-73.900358,
100044,GRAND CONCOURSE/E 187 ST,,40.860569,-73.897865,
100045,GRAND CONCOURSE/E FORDHAM RD,GRAND CONCOURSE & E FORDHAM RD,40.862958,-73.896434,
100047,GRAND CONCOURSE/E KINGSBRIDGE RD,GRAND CONCOURSE & E KINGSBRIDGE RD,40.866628,-73.893663,
100048,GRAND CONCOURSE/E 196 ST,GRAND CONCOURSE & E 196 ST,40.867955,-73.892642,
100049,GRAND CONCOURSE/E 198 ST,,40.870243,-73.890420,
100052,GRAND CONCOURSE/E 206 ST,,40.876301,-73.885510,
100053,GRAND CONCOURSE/E MOSHOLU PY S,,40.878054,-73.884754,
100054,E MOSHOLU PKY S/JEROME AV,,40.879494,-73.885600,
100055,W MOSHOLU PY S/PAUL AV,,40.880437,-73.885902,
100056,SEDGWICK AV/DICKINSON AV,,40.882915,-73.887474,
100057,SEDGWICK AV/HILLMAN AV,,40.882463,-73.891351,
100058,SEDGWICK AV/VAN CORTLANDT AV W,SEDGWICK AV & VAN CORTLANDT AV W,40.882828,-73.893138,
100059,SEDGWICK AV/STEVENSON PL,,40.882691,-73.895187,
100060,SEDGWICK AV/GILES PL,SEDGWICK AV & GILES PL,40.880924,-73.896698,
100061,SEDGWICK AV/FT INDEPENDENCE ST,,40.878651,-73.897918,
100062,HEATH AV/SUMMIT PL,,40.877891,-73.901519,
100063,ALBANY CR/BAILEY AV,,40.876877,-73.903177,
100064,W 231 ST/BAILEY AV,,40.878232,-73.902770,
100065,W 231 ST/BROADWAY,,40.879254,-73.905400,
100066,W 231 ST/KINGSBRIDGE AV,,40.880047,-73.906872,
100068,RIVERDALE AV/GREYSTONE AV,,40.884362,-73.907470,
100069,RIVERDALE AV/W 236 ST,,40.886950,-73.906960,
100070,RIVERDALE AV/W 238 ST,,40.888109,-73.907428,
100071,HENRY HUDSON PKY E/W 239 ST,HENRY HUDSON PKY E & W 239 ST,40.889520,-73.908064,
100076,RIVERDALE AV/W 238 ST,,40.887911,-73.907577,
100077,RIVERDALE AV/W 236 ST,RIVERDALE AV & W 236 ST,40.886238,-73.907112,
100080,PAUL AV/BEDFORD PK BL,,40.874629,-73.891539,
100082,W 231 ST/RIVERDALE AV,,40.881211,-73.909210,
100084,W 231 ST/BROADWAY,,40.878698,-73.904415,
100085,W 231 ST/BAILEY AV,,40.878029,-73.902633,
100087,HEATH AV/SUMMIT PL,,40.878321,-73.900958,
100088,SEDGWICK AV/FT INDEPENDENCE ST,SEDGWICK AV & FT INDEPENDENCE ST,40.878632,-73.897751,
100089,SEDGWICK AV/GILES PL,SEDGWICK AV & GILES PL,40.881547,-73.896430,
100090,SEDGWICK AV/STEVENSON PL 1,,40.882913,-73.894366,
100096,GRAND CONCOURSE/VAN CORTLANDT AV E,,40.876996,-73.885681,
100098,GRAND CONCOURSE/BEDFORD PK BL,GRAND CONCOURSE & BEDFORD PK BL,40.872085,-73.888252,
100100,GRAND CONCOURSE/E 196 ST,GRAND CONCOURSE & E 196 ST,40.868130,-73.893171,
100101,GRAND CONCOURSE/E KINGSBRIDGE RD,GRAND CONCOURSE & E KINGSBRIDGE RD,40.866021,-73.894766,
100102,GRAND CONCOURSE/E 192 ST,,40.863998,-73.896254,
100103,GRAND CONCOURSE/E FORDHAM RD,GRAND CONCOURSE & E FORDHAM RD,40.861909,-73.897737,
100107,GRAND CONCOURSE/E 182 ST,,40.855821,-73.901230,
100108,GRAND CONCOURSE/E 181 ST,,40.854276,-73.902425,
100109,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE & E BURNSIDE AV,40.852725,-73.903718,
100110,GRAND CONCOURSE/E 179 ST,,40.851248,-73.904866,
100112,GRAND CONCOURSE/MORRIS AV,,40.846914,-73.909021,
100113,GRAND CONCOURSE/E 174 ST,,40.844861,-73.911551,
100114,GRAND CONCOURSE/MT EDEN AV,GRAND CONCOURSE & MT EDEN AV,40.843088,-73.912273,
100115,GRAND CONCOURSE/E 172 ST,,40.840638,-73.913071,
100117,GRAND CONCOURSE/E CLARKE PL,,40.836746,-73.915851,
100118,GRAND CONCOURSE/E 167 ST,,40.834228,-73.918308,
100119,GRAND CONCOURSE/McCLELLAN ST,,40.833254,-73.919209,
100129,MELROSE AV/E 152 ST,,40.817929,-73.917028,
100131,GRAND CONCOURSE/E 165 ST,GRAND CONCOURSE & E 165 ST,40.831124,-73.920651,
100132,GRAND CONCOURSE/E 163 ST,,40.828357,-73.922106,
100133,GRAND CONCOURSE/E 161 ST,,40.826258,-73.923044,
100134,GRAND CONCOURSE/E 158 ST,GRAND CONCOURSE & E 158 ST,40.825136,-73.923808,
100135,GRAND CONCOURSE/E 156 ST,,40.823109,-73.924629,
100136,GRAND CONCOURSE/E 153 ST,,40.821130,-73.925891,
100138,GRAND CONCOURSE/E 149 ST,,40.818702,-73.927286,
100139,GRAND CONCOURSE/E 144 ST,,40.816194,-73.928408,
100140,GRAND CONCOURSE/E 138 ST,,40.813486,-73.930284,
100148,UNIVERSITY AV/N OF WASHINGTON BDG,,40.845711,-73.921894,
100149,UNIVERSITY AV/W 174 ST,,40.846858,-73.920440,
100151,UNIVERSITY AV/W 176 ST,,40.849217,-73.917023,
100152,UNIVERSITY AV/W TREMONT AV,,40.850268,-73.915494,
100153,UNIVERSITY AV/MORTON PL,,40.852194,-73.913668,
100155,UNIVERSITY AV/W BURNSIDE AV,,40.854707,-73.911236,
100156,UNIVERSITY AV/W 181 ST,,40.857351,-73.909569,
100157,UNIVERSITY AV/W 183 ST,,40.859697,-73.907623,
100159,UNIVERSITY AV/W FORDHAM RD,,40.862638,-73.904979,
100161,UNIVERSITY AV/W 190 ST,,40.865519,-73.903034,
100162,UNIVERSITY AV/W 192 ST,,40.867220,-73.901763,
100164,W KINGSBRIDGE RD/SEDGWICK AV,,40.869541,-73.903603,
100166,SEDGWICK AV/W 197 ST,SEDGWICK AV & W 197 ST,40.872657,-73.902036,
100169,FT INDEPENDENCE/GILES PL,,40.878638,-73.898998,
